epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
338,1904.716815592448,1904.716815592448,3166.9830218228426,3166.9830218228426
339,1825.5067431640625,1825.5067431640625,3681.361323963512,3681.361323963512
340,1857.8020890299479,1857.8020890299479,3416.9634490013123,3416.9634490013123
341,1776.7347696940103,1776.7347696940103,3470.44871451638,3470.44871451638
342,1837.2343924967447,1837.2343924967447,3262.4053646434436,3262.4053646434436
343,1852.8568090820313,1852.8568090820313,3524.2995365749707,3524.2995365749707
344,1930.9137508138022,1930.9137508138022,3385.3539390563965,3385.3539390563965
345,1814.6347005208333,1814.6347005208333,3215.4149081490255,3215.4149081490255
346,1793.3811873372397,1793.3811873372397,3109.8676904331555,3109.8676904331555
347,1787.1745548502604,1787.1745548502604,3471.5615745891223,3471.5615745891223
348,1732.2209794108073,1732.2209794108073,3260.058002645319,3260.058002645319
349,1688.0658182779948,1688.0658182779948,3246.0631141662598,3246.0631141662598
350,1643.331687825521,1643.331687825521,3114.856050838124,3114.856050838124
351,1740.9985904947916,1740.9985904947916,2914.90234375,2914.90234375
352,1794.1665445963542,1794.1665445963542,3117.283799604936,3117.283799604936
353,1827.4522721354167,1827.4522721354167,3120.59037399292,3120.59037399292
354,1791.1324983723957,1791.1324983723957,3177.37627991763,3177.37627991763
355,1711.9175423177082,1711.9175423177082,2709.807045286352,2709.807045286352
356,1894.8392529296875,1894.8392529296875,3263.9642181396484,3263.9642181396484
357,1631.2864278157551,1631.2864278157551,2429.6390280290084,2429.6390280290084
358,1752.7032934570314,1752.7032934570314,3257.0374911915173,3257.0374911915173
359,1744.7637719726563,1744.7637719726563,3346.2659700567074,3346.2659700567074
360,1766.8483308919272,1766.8483308919272,3446.8651454231954,3446.8651454231954
361,1862.3076318359374,1862.3076318359374,3500.6822621172123,3500.6822621172123
362,1796.9957096354167,1796.9957096354167,3176.331195831299,3176.331195831299
363,1731.237743326823,1731.237743326823,3105.306277361783,3105.306277361783
364,1740.9656005859374,1740.9656005859374,2715.894854196093,2715.894854196093
365,1673.0625703938802,1673.0625703938802,3355.6903579235077,3355.6903579235077
366,1756.9046647135417,1756.9046647135417,3035.5526163578033,3035.5526163578033
367,1867.7392655436197,1867.7392655436197,3173.6980613361707,3173.6980613361707
368,1893.1781697591146,1893.1781697591146,3189.5194873809814,3189.5194873809814
369,1803.6411279296874,1803.6411279296874,3155.163733915849,3155.163733915849
370,1771.9588366699218,1771.9588366699218,3367.9764622558246,3367.9764622558246
371,1776.4973701985678,1776.4973701985678,3453.33342513713,3453.33342513713
372,1872.028934733073,1872.028934733073,3500.7795393250203,3500.7795393250203
373,1817.1257796223958,1817.1257796223958,3279.470329804854,3279.470329804854
374,1871.380057779948,1871.380057779948,3453.569249239835,3453.569249239835
375,1786.5810778808593,1786.5810778808593,2904.740615389564,2904.740615389564
376,1795.6966455078125,1795.6966455078125,2956.1177196502686,2956.1177196502686
377,1769.9265079752604,1769.9265079752604,3467.4170021468944,3467.4170021468944
378,1840.1634342447917,1840.1634342447917,3184.9560267708516,3184.9560267708516
379,1778.518779296875,1778.518779296875,3263.3796456076884,3263.3796456076884
380,1729.3163810221354,1729.3163810221354,3206.436475753784,3206.436475753784
381,1756.2978751627604,1756.2978751627604,3185.340782512318,3185.340782512318
